,names,Yield Strength,Pressure treated,Area under heat treatment curve,Strengthening Precipitate Phase,Powder processed,Al,B,C,Co,Cr,Cu,Fe,Hf,La,Mg,Mn,Mo,N,Nb,Ni,P,Re,Ru,Si,Ta,Ti,V,W,Y,Th,O,Zr,Ultimate Tensile Strength,Elongation
0,Allvac718PLUS,989,No,392890,GammaPrime,No,1.5,0.005,0.02,9.1,17.4,0,9.7,0,0,0,0,2.7,0,5.5,52.36,0.013,0,0,0,0,0.7,0,1,0,0,0,0,,
1,HastelloyS,,No,0,,No,0.3,0,0,0,15.5,0,1,0,,0,0.5,14.5,0,0,67,0,,,0.4,0,0,0,0,0,0,0,0,845,
2,Haynes230,,No,0,,No,0.3,0,0.1,0,22,0,0,,,0,0.5,2,0,0,57,0,,,0.4,0,0,0,14,0,0,0,0,,
3,Waspaloy,,No,19572,,No,1.3,0.001,0.035,13.4,19.7,0.006,0,,,0,0,4.25,0,0,58.32,0,,,0,0,3,0,0,0,0,0,0,,
4,Unnamedalloy10,,No,0,,No,5.7,0,0,15,10,0,0,,,0,0,3.5,0,0,61.7,0,,,0,0,4.1,0,0,0,0,0,0,,
5,Unnamedalloy7,1074,No,12349,GammaPrime,No,0,0,0.05,0,20,0,0,0,0,0,0,0,0,8,71.95,0,0,0,0,0,0,0,0,0,0,0,0,,26.4
6,Ticolloy1,,No,0,,No,0.46,0.003,0.031,0,18,0,18.25,0,,0.001,0,3.05,0,5.26,54,0,,,0,0,0.95,0,0,0,0,0,0,1261,
7,Haynes242,,No,7150,,No,0,0,0,0,8,0,0,,,0,0,25,0,0,66,0,,,0,1,0,0,0,0,0,0,0,,
8,Unnamedalloy29,1055,Yes,0,GammaPrime,Yes,5,0.02,0.07,18.53,12.38,0,0,0,0,0,0.01,3.29,0,0,55.72,0,0,0,0,0,4.18,0.74,0,0,0,0,0.06,,22.7
9,Inconel713C,,No,0,,No,6.1,0.012,0.12,0,12.5,0,0,0,,0,0,4.2,0,2,74,0,,,0,0,0.8,0,0,0,0,0,0.1,870,
10,MAR-M247:WLK,,No,203820,,No,5.5,0.013,0.17,10.15,8.63,0,0.04,,,0,0,0.73,0,0,59.66,1.4,,,0,3,1,0,9.67,0,0,0,0.04,,
11,Astroloy,,No,41520,,No,3.87,0.02,0.015,16.9,14.8,0,0.4,0,,0,0,5.1,0,0,55.43,0,,,0.02,0,3.45,0,0,0,0,0,0,1466,
12,N-155,260,No,4441,Solution,No,0,0,0.15,20,21,0,30,0,0,0,1.5,3,0.15,1,20,0,0,0,0.5,0,0,0,2.5,0,0,0,0,,30
13,Inconel783,,No,15205,,No,5.4,0,0.008,35,3.3,0,25,0,,0,0,0,0,3,28.03,0,,,0.06,0,0.2,0,0,0,0,0,0,816,
14,Udimet720P_M,1581,No,24006,GammaPrime,Yes,2.5,0.03,0.025,14.75,16,0,0,0,0,0,0,3,0,0,57.41,0,0,0,0,0,5,0,1.25,0,0,0,0.035,,17.3
15,MERL76,,No,2352,,No,5,0.02,0.02,18.5,12.5,0,0,,,0,0,3.2,0,1.4,54.5,0.4,,,0,0,4.4,0,0,0,0,0,0.06,,
16,Inconel625,518,No,3470,DoublePrime,Yes,0.28,0,0.026,0,21.28,0,1.41,0,0,0,0.03,8.97,0.005,3.79,63.87,0,0,0,0.07,0,0.27,0,0,0,0,0,0,,47
17,J5,,No,8250,,No,0.1,0,0.01,0,12.3,0,0,,,0,0,22,0,0,64.51,0,,,0,1,0,0,0,0,0,0,0,,
18,Waspaloy1728,,No,44108,,No,1.36,0.001,0.038,3.6,19.5,0,0,,,0,0,3.96,0,0,68.46,0,,,0,0,3.02,0,0,0,0,0,0.06,,
19,Nimonic75,,No,1,,No,0,0,0.1,0,19.5,0,3,,,0,0.3,0,0,0,76,0,,,0.3,0,0.4,0,0,0,0,0,0,,
20,Astroloy,971,No,41520,GammaPrime,Yes,4.15,0,0.036,17,14.7,0,0.22,0,0,0,0.05,3.4,0,0,55.43,0,0,0,0.04,0,3.57,0,0,0,0,0,0,,2.6
21,Inconel738LC,,No,22520,,No,3.44,0.01,0.09,8.61,15.95,0,0.04,,,0,0,1.77,0,0.92,61.18,0,,,0,1.76,3.55,0,2.64,0,0,0,0.038,,
22,Unnamedalloy31,1120,No,11702,GammaPrime,No,0.54,0.004,0.04,22.5,0,0,41.74,0,0,0,0,0,0,4.07,29.5,0,0,0,0.31,0,1.3,0,0,0,0,0,0,,13.6
23,Udimet720Li,,No,23992,,No,2.54,0.018,0.013,14.52,16.06,0,0,,,0,0,3.08,0,0,57.53,0,,,0,0,5.04,0,1.2,0,0,0,0,,
24,PWA1480-singlecrystal,,No,23404,,No,5,0,0,5,10,0,0,0,,0,0,0,0,0,63,0,,,0,12,1.5,0,4,0,0,0,0,1140,
25,Inconel706,,No,14223,,No,0.23,0.0045,0.041,0,15.79,0.001,37.88,0,,0,0.07,0,0,3.05,41.16,0,,,0.09,0,1.68,0,0,0,0,0,0,1372,
26,Inconel738LC,791,No,22520,GammaPrime,No,3.44,0.01,0.09,8.61,15.95,0,0.04,0,0,0,0,1.77,0,0.92,61.18,0,0,0,0,1.76,3.55,0,2.64,0,0,0,0.038,,26.3
27,Inconel718P/M,,No,12676,,No,5.45,0,0.04,0,18.61,0,18.61,0,,0,0,3.02,0,0,53.35,0,,,0,0,0.92,0,0,0,0,0,0,1465,
28,MERL76,,No,30062,,No,5,0.02,0.02,18.5,12.5,0,0,0,,0,0,3.2,0,1.4,54.5,0.4,,,0,0,4.4,0,0,0,0,0,0.06,1428,
29,Inconel718,936,No,12715,DoublePrime,No,0.63,0,0.05,0,17.9,0,18.84,0,0,0,0.18,3,0,5.1,52.96,0,0,0,0.22,0,1.12,0,0,0,0,0,0,,31
30,Udimet720P_M,1082,No,23914,GammaPrime,Yes,2.5,0.04,0.025,14.75,16,0,0,0,0,0,0,3,0,0,57.41,0,0,0,0,0,5,0,1.25,0,0,0,0.035,,17.7
31,NM3,,No,993925,,No,3.65,0.013,0.024,14.65,11.8,0,0,0,,0,0,3.3,0,0,61.01,0,,,0,0,5.5,0,0,0,0,0,0.052,1198,
32,Inconel617,295,No,0,GammaPrime,No,1,0,0.07,12.5,22,0,0,0,0,0,0,9,0,0,54,0,0,0,0,0,0.3,0,0,0,0,0,0,,70
33,Inconel718,,No,17904,,No,0.5,0,0.04,0,19,0,18.5,0,,0,0.2,3,0,5.1,52.5,0,,,0.2,0,0.9,0,0,0,0,0,0,950,
34,Alloy101,,No,35200,,No,3.4,0.015,0.16,9,12.2,0,0,0,,0,0,1.95,0,0,60.17,1,,,0,3.95,4.1,0,3.95,0,0,0,0.11,1715,
35,GH220,,No,10980,,No,4.12,0.013,0.046,14.55,9.9,0.004,0,0,,0.005,0.02,5.4,0,0,57.97,0,,,0.06,0,2.3,0.27,5.35,0,0,0,0,562,
36,TMW4,1279,No,32160,GammaPrime,No,1.9,0.02,0.02,26.3,14.9,0,0,0,0,0,0,2.8,0,0,46.84,0,0,0,0,0,6,0,1.2,0,0,0,0.02,,9.3
37,El-929,,No,6640,,No,4,0.02,0.1,14,10,0,0,0,,0,0,4,0,0,60.38,0,,,0,0,2,0.5,5,0,0,0,0,922,
38,Inconel625,,No,3523,,No,0.28,0,0.026,0,21.28,0,1.41,0,,0,0.03,8.97,0.005,3.79,63.87,0,,,0.07,0,0.27,0,0,0,0,0,0,995,
39,Inconel718p4,1201,No,27840,DoublePrime,No,0.52,0.006,0.02,0,18.45,0,18.94,0,0,0,0.02,3.05,0,5.17,52.76,0.0083,0,0,0.05,0,1.01,0,0,0,0,0,0,,24
40,Alloy101,,No,35200,,No,3.4,0.015,0.16,9,12.2,0,0,0,,0,0,1.95,0,0,60.17,1,,,0,3.95,4.1,0,3.95,0,0,0,0.11,1815,
41,HastelloyS,220,No,0,Solution,No,0.3,0,0,0,15.5,0,1,0,0.05,0,0.5,14.5,0,0,67,0,0,0,0.4,0,0,0,0,0,0,0,0,,47
42,Inconel718_Ta,,No,11876,,No,0.47,0.0043,0.044,0,19.2,0,18,,,0,0,3,0,0.02,49.1,0,,,0.02,9.1,1.04,0,0,0,0,0,0,,
43,Udimet720,,No,28198,,No,2.5,0.033,0.03,14.7,17.9,0,0,,,0,0,3,0,0,55,0,,,0,0,5,0,0,0,0,0,0.03,,
44,Inconel718Super,960,No,11639,DoublePrime,No,0.5,0,0.04,0,19,0,18.5,0,0,0,0.2,3,0,5.1,52.5,0,0,0,0.2,0,0.9,0,0,0,0,0,0,,14
45,NimonicPE.16,,No,16934,,No,1.2,0.02,0.05,1,16.5,0,33,,,0,0.1,1.1,0,0,43,0,,,0.1,0,1.2,0,0,0,0,0,0,,
46,Inconel625,770,No,12022,DoublePrime,Yes,0.32,0,0.019,0,21.49,0,1.41,0,0,0,0.04,8.88,0.006,3.77,63.74,0,0,0,0.07,0,0.26,0,0,0,0,0,0,,35
47,Nimonic105,146,No,35124,GammaPrime,No,4.7,0.005,0.13,20,15,0,0,0,0,0,0.3,5,0,0,53,0,0,0,0.3,0,1.2,0,0,0,0,0,0.1,,38.8
48,Thermo-Span,1111,No,11805,GammaPrime,No,0.45,0.004,0,29,5.5,0,34.8,0,0,0,0,0,0,4.8,24.25,0,0,0,0.35,0,0.85,0,0,0,0,0,0,,25
49,Inconel731X,,No,0,,No,5.6,0.014,0.16,9.72,9.6,0,0.23,,,0,0,2.46,0,0,66.66,0,,,0.045,0,4.66,0.85,0,0,0,0,0,,
50,Inconel706,,No,14223,,No,0.24,0.0045,0.045,0,15.75,0.002,39.03,0,,0,0.06,0,0,2.89,40.19,0,,,0.13,0,1.66,0,0,0,0,0,0,1289,
51,RR1000,,No,17320,,No,3,0.015,0.027,18.5,15,0,0,,,0,0,5,0,0,52.05,0.75,,,0,2,3.6,0,0,0,0,0,0.06,,
52,Unnamedalloy31,,No,11702,,No,0.54,0.004,0.04,22.5,0,0,41.74,0,,0,0,0,0,4.07,29.5,0,,,0.31,0,1.3,0,0,0,0,0,0,1323,
53,Unnamedalloy31,,No,11702,,No,0.54,0.004,0.04,22.5,0,0,41.74,,,0,0,0,0,4.07,29.5,0,,,0.31,0,1.3,0,0,0,0,0,0,,
54,Unnamedalloy26,,No,0,,No,6,0,0.13,0,6,0,0,,,0,0,2,0,0,71.27,0,,,0,3,0,0,11,0,0,0,0.6,,
55,MAR-M200+Hf,,No,43550,,No,5,0.015,0.14,10,9,0,0,,,0,0,0,0,1,59,1.8,,,0,0,2,0,12.5,0,0,0,0.05,,
56,Waspaloy12,,No,19620,,No,1.35,0.03,0.018,14,18.9,0,0,0,,0,0,4.1,0,0,58.5,0,,,0,0,3.1,0,0,0,0,0,0,1441,
57,Unnamedalloy27,,No,0,,No,6,0.02,0.13,0,6,0,0,,,0,0,2,0,0,71.35,0,,,0,3,0,0,11,0,0,0,0.5,,
58,Unnamedalloy29,,No,0,,No,5,0.02,0.07,18.53,12.38,0,0,0,,0,0.01,3.29,0,0,55.72,0,,,0,0,4.18,0.74,0,0,0,0,0.06,1307,
59,Inconel718,,No,11708,,No,0.5,0.005,0.04,0,18.5,0,18.5,0,,0,0,3,0,5.1,52.5,0,,,0,0,0.9,0,0,0,0,0,0,834,
60,Udimet700,,No,41192,,No,4.42,0.03,0.06,18.8,15.5,0,0.15,,,0,0.1,5.1,0,0,52.28,0,,,0.1,0,3.41,0,0,0,0,0,0.05,,
61,RR1000+,,No,7800,,No,3.1,0.02,0.045,17,15,0,0,,,0,0,4.5,0,0,53.53,0.35,,,0,2,4.4,0,0,0,0,0,0.06,,
62,KM42,,No,11176,,No,3.46,0.023,0.035,17.66,12.44,0,0,,,0.0122,0,3.87,0,1.88,56.22,0,,,0,0,4.26,0,0.11,0,0,0,0.026,,
63,TRW-NASAVIA,,No,0,,No,5.4,0.02,0.13,7.5,6.1,0,0,0,,0,0,2,0,0.5,61,0,,,0,9,1,0,5.8,0,0,0,0.13,1140,
64,Waspaloy,,No,6812,,No,1,0.01,0.025,13,19,0,0,0,,0,0,4,0,3,57.92,0,,,0,0,2,0,0,0,0,0,0.05,1016,
65,Inconel939,,No,10640,,No,1.9,0.01,0.15,19,22.5,0,0,,,0,0,0,0,1,48.24,0,,,0,1.4,3.7,0,2,0,0,0,0.1,,
66,J16,,No,7150,,No,0.1,0,0.008,0,12.2,0,0,,,0,0,15.5,0,0,64.52,0,,,0,1,0,0,6.6,0,0,0,0,,
67,Inconel939,,No,13840,,No,2,0.004,0.15,19,22.4,0.005,0,,,0,0,0.01,0,1.02,48.23,0,,,0.001,1.45,3.71,0,2.02,0,0,0,0.003,,
68,Inconel718,,No,17904,,No,0.5,0,0.04,0,19,0,18.5,0,,0,0.2,3,0,5.1,52.5,0,,,0.2,0,0.9,0,0,0,0,0,0,1435,
69,HastelloyC-22,250,No,0,Solution,No,0,0,0.01,2.5,21.5,0,5.5,0,0,0,1,13.5,0,0,51.6,0,0,0,0.1,0,0,0.3,4,0,0,0,0,,65
70,Unnamedalloy2,,No,0,,No,0,0,0,0,24,0,33.55,,,0,0,0,0,2*,40,0,,,0,0,2*,0,0,0,0,0,0,,
71,Rene95,,No,4353,,No,3.43,0.009,0.07,7.85,13.63,0.007,0,,,0,0,3.5,0,3.46,62,0,,,0.01,0,2.48,0,3.5,0,0,0,0.05,,
72,RR1000+,,No,7960,,No,3.1,0.02,0.045,17,15,0,0,0,,0,0,4.5,0,0,53.53,0.35,,,0,2,4.4,0,0,0,0,0,0.06,1296,
73,Waspaloy,806,No,36708,GammaPrime,No,1.3,0.006,0.08,13.5,19.5,0,0,0,0,0,0,4.3,0,0,58,0,0,0,0,0,3,0,0,0,0,0,0,,24.9
74,Inconel625,,No,5972,,No,0.25,0,0.016,0,21.45,0,1.41,0,,0,0.05,8.89,0.006,3.77,63.84,0,,,0.06,0,0.26,0,0,0,0,0,0,1019,
75,Inconel713C,495,No,0,GammaPrime,No,6.1,0.012,0.12,0,12.5,0,0,0,0,0,0,4.2,0,2,74,0,0,0,0,0,0.8,0,0,0,0,0,0.1,,14
76,Inconel939,,No,10640,,No,1.9,0.01,0.15,19,22.5,0,0,,,0,0,0,0,1,48.24,0,,,0,1.4,3.7,0,2,0,0,0,0.1,,
77,MERL76,200,No,2352,GammaPrime,No,5,0.02,0.02,18.5,12.5,0,0,0.4,0,0,0,3.2,0,1.4,54.5,0,0,0,0,0,4.4,0,0,0,0,0,0.06,,46
78,Inconel100,,No,0,,No,5.5,0.014,0.18,15,10,0,0,0,,0,0,3,0,0,60,0,,,0,0,4.7,1,0,0,0,0,0.06,565,
79,Inconel718KC1541,1079.7,No,37810.8,DoublePrime,No,0.74,0.0075,0.064,0.36,17.6,0,18.87,0,0,0,0.11,2.96,0,5.34,52.96,0.011,0,0,0.6,0,0.37,0,0,0,0,0,0,,12.7
80,AlloyT+,932,No,7800,GammaPrime,Yes,3.1,0.02,0.045,17,15,0,0,0,0,0,0,4,0,0,53.88,0,0,0,0,2.5,4.4,0,0,0,0,0,0.06,,21.61
81,Rene220,,No,6590,,No,0.5,0.01,0.015,12,18,0,0,,,0,0,3,0,5,57.48,0,,,0,3,1,0,0,0,0,0,0,,
82,AlloyT+,760,No,7800,GammaPrime,Yes,3.1,0.02,0.045,17,15,0,0,0,0,0,0,4,0,0,53.88,0,0,0,0,2.5,4.4,0,0,0,0,0,0.06,,21.32
83,Rene220,371,No,0,DoublePrime,No,1.3,0.015,0.04,12.9,12,0,1,0,0,0,0,2.4,0,1,64.15,0,0,0,0.5,2.1,2.5,0,0,0,0,0,0.1,,
84,InconelMA6000,,No,27526,,No,4.5,0.01,0.05,0,15,0,0,0,,0,0,2,0,0,69,0,,,0,2,2.5,0,4,0,0,0,0.15,1090,
85,Udimet520,,No,36876,,No,1.98,0.005,0.04,12.2,12.1,0,0.1,,,0,0.1,6.2,0,0,63.2,0,,,0.1,0,3,0,0.98,0,0,0,0,,
86,Inconel718Dir.Age,1090,No,10712,DoublePrime,No,0.5,0,0.04,0,19,0,18.5,0,0,0,0.2,3,0,5.1,52.5,0,0,0,0.2,0,0.9,0,0,0,0,0,0,,23
87,Inconel939,772,No,13840,GammaPrime,No,2,0.004,0.15,19,22.4,0,0,0,0,0,0,0.01,0,1.02,48.23,0.005,0,0,0.001,1.45,3.71,0,2.02,0,0,0,0.003,,
88,Inconel738LC,,No,22520,,No,3.44,0.01,0.09,8.61,15.95,0,0.04,,,0,0,1.77,0,0.92,61.18,0,,,0,1.76,3.55,0,2.64,0,0,0,0.038,,
89,Inconel738LC,,No,22520,,No,3.44,0.01,0.09,8.61,15.95,0,0.04,0,,0,0,1.77,0,0.92,61.18,0,,,0,1.76,3.55,0,2.64,0,0,0,0.038,1009,
90,Haynes282,631,No,10566,GammaPrime,No,1.5,0.005,0.06,10,20,0,1.5,0,0,0,0.3,8.5,0,0,55.89,0,0,0,0.15,0,2.1,0,0,0,0,0,0,,35.7
91,Cabot214,,No,4484,,No,4.5,0,0,0,16,0,2.5,,,0,0,0,0,0,75,0,,,0,0,0,0,0,0,0,0,0,,
92,Nimonic090,795,No,19896,GammaPrime,No,1.5,0.003,0.07,16.5,19.5,0,0,0,0,0,0.3,0,0,0,59,0,0,0,0.3,0,2.5,0,0,0,0,0,0.06,,18
93,Udimet720,1213,No,23914,GammaPrime,No,2.5,0.017,0.015,14.75,16,0,0,0,0,0,0,3,0,0,57.43,0,0,0,0,0,5,0,1.25,0,0,0,0.035,,17.1
94,Inconel706,,No,11694,,No,0.24,0,0.021,0.03,16.2,0,37.3,0,,0,0,0.05,0,3,41.59,0,,,0.05,0,1.52,0,0,0,0,0,0,1025,
95,Inconel713C,,No,34340,,No,6.2,0.011,0.1,0,13.1,0,0,0,,0,0,4.5,0,1.6,71.87,0,,,0,1.75,0.8,0,0,0,0,0,0.07,815,
96,Ticolloy11,,No,0,,No,0.87,0.004,0.031,0,17.8,0,18,0,,0.001,0,3.02,0,5.42,53.89,0,,,0,0,0.96,0,0,0,0,0,0,1454,
97,Inconel718KC1555,1012.2,No,38170.8,DoublePrime,No,0.64,0.006,0.06,0.36,17.8,0,17.43,0,0,0,0.11,2.98,0,5.31,53.23,0.001,0,0,0.61,0,1.45,0,0,0,0,0,0,,16.7
98,Inconel718,,No,11666,,No,0.6,0.004,0.03,0,18,0.002,19.2,,,0,0,2.9,0,5.25,53.07,0,,,0,0,0.95,0,0,0,0,0,0,,
99,Inconel706,,No,14223,,No,0.24,0.0043,0.042,0,15.78,0.003,38.2,0,,0,0.07,0,0,2.99,40.93,0,,,0.09,0,1.65,0,0,0,0,0,0,1034,
100,Inconel625,415,No,1149,DoublePrime,No,0.2,0,0.05,0,21.5,0,2.5,0,0,0,0.2,9,0,3.6,61,0,0,0,0.2,0,0.2,0,0,0,0,0,0,,45
101,RR1000,,No,17320,,No,3,0.015,0.027,18.5,15,0,0,0,,0,0,5,0,0,52.05,0.75,,,0,2,3.6,0,0,0,0,0,0.06,1166,
102,Udimet500,,No,36708,,No,2.99,0.004,0.08,19,19.3,0,0.24,,,0,0.1,4.15,0,0,51.06,0,,,0.13,0,2.95,0,0,0,0,0,0,,
103,Inconel706,,No,14083,,No,0.26,0.0034,0.008,0,15.65,0.003,37.1,,,0,0.02,0.02,0.0046,2.96,42.38,0,,,0.05,0,1.54,0,0,0,0,0,0,,
104,Waspaloy5,,No,19620,,No,1.34,0.005,0.034,13.25,19.2,0,0,,,0,0,4.34,0,0,58.76,0,,,0,0,3.07,0,0,0,0,0,0,,
105,Rene41,,No,16424,,No,1.5,0.005,0.09,11,19,0,0,,,0,0,10,0,0,55,0,,,0,0,3.1,0,0,0,0,0,0,,
106,B-1900,886,No,13320,GammaPrime,No,6,0.013,0.13,10,8,0,0,0,0,0,0,6,0,0,68.78,0,0,0,0,4.3,1,0,0,0,0,0,0.08,,16.8
107,Astroloy,,No,41520,,No,4.15,0,0.036,17,14.7,0,0.22,,,0,0.05,3.4,0,0,55.43,0,,,0.04,0,3.57,0,0,0,0,0,0,,
108,Inconel738X,,No,22474,,No,3.7,0.0125,0.15,8.96,15.5,0,0.14,,,0,0.1,1.68,0,1.5,59.89,0,,,0.1,1.9,3.75,0,2.55,0,0,0,0.069,,
109,Nimonic115,,No,13279,,No,4.9,0.16,0.15,13.2,14.3,0,0,,,0,0,0,0,0,60,0,,,0,0,3.7,0,0,0,0,0,0.04,,
110,Inconel738LC,1060,No,22520,GammaPrime,No,3.44,0.01,0.09,8.61,15.95,0,0.04,0,0,0,0,1.77,0,0.92,61.18,0,0,0,0,1.76,3.55,0,2.64,0,0,0,0.038,,4
111,Inconel706,860,No,14223,Both,No,0.2,0,0.03,0,16,0,40,0,0,0,0.2,0,0,2.9,41.5,0,0,0,0.2,0,1.8,0,0,0,0,0,0,,24
112,Unnamedalloy9,,No,0,,No,5.75,0,0,15,10,0,0,,,0,0,3.5,0,0,61.15,0,,,0,0,4.6,0,0,0,0,0,0,,
113,Alloy903,802,No,11650,GammaPrime,No,0.81,0.006,0.03,15,0.16,0,43.25,0,0,0,0,0,0,1.47,37.8,0,0,0,0,0,1.47,0,0,0,0,0,0,,9.4
114,B-1900,695,No,0,GammaPrime,No,6,0.015,0.1,10,8,0,0,0,0,0,0,6,0,0,64,0,0,0,0,4,1,0,0,0,0,0,0.1,,4
115,Inconel617,170,No,0,GammaPrime,No,1,0,0.07,12.5,22,0,0,0,0,0,0,9,0,0,54,0,0,0,0,0,0.3,0,0,0,0,0,0,,75
116,Udimet720P_M,1527,No,24006,GammaPrime,Yes,2.5,0.02,0.025,14.75,16,0,0,0.75,0,0,0,3,0,0,57.41,0,0,0,0,0,5,0,1.25,0,0,0,0.035,,16.5
117,Unnamedalloy29,,No,0,,No,5,0.02,0.07,18.53,12.38,0,0,,,0,0.01,3.29,0,0,55.72,0,,,0,0,4.18,0.74,0,0,0,0,0.06,,
118,Rene125+Hf,,No,0,,No,4.8,0.015,0.11,10,8.5,0,0,0,,0,0,2,0,0,59,1.4,,,0,3.8,2.5,0,8,0,0,0,0.05,1070,
119,Nimonic105,,No,35124,,No,4.7,0.005,0.13,20,15,0,0,,,0,0.3,5,0,0,53,0,,,0.3,0,1.2,0,0,0,0,0,0.1,,
120,MAR-M247:WWS,,No,203820,,No,5.57,0.016,0.14,10.05,8.51,0,0.16,0,,0,0,0.71,0,0,59.31,1.55,,,0,2.99,1.09,0,9.87,0,0,0,0.03,876,
121,Inconel706,869,No,14223,Both,No,0.23,0.0045,0.041,0,15.79,0,37.88,0,0,0,0.07,0,0,3.05,41.16,0.001,0,0,0.09,0,1.68,0,0,0,0,0,0,,23
122,Nimonic263,520,No,8690,GammaPrime,No,0.45,0,0.06,20,20,0,0,0,0,0,0,5.85,0,0,51.49,0,0,0,0,0,2.15,0,0,0,0,0,0,,47
123,Inconel718,,No,11666,,No,0.51,0,0.008,0,17.92,0,18.97,0,,0,0,2.92,0,5.24,53.49,0,,,0,0.01,0.93,0,0,0,0,0,0,1395,
124,Inconel718,1223,No,12630,DoublePrime,No,2.04,0.0019,0.048,0,16.6,0,13.71,0,0,0,0,3.09,0,3.55,57.45,0,0,0,0,0,1.21,0,2.3,0,0,0,0,,25.3
125,Rene95,,No,1964,,No,3.43,0.009,0.07,7.85,13.63,0.007,0,0,,0,0,3.5,0,3.46,62,0,,,0.01,0,2.48,0,3.5,0,0,0,0.05,1731,
126,HastelloyX,180,No,1177,Solution,No,0,0,0.1,1.5,22,0,18.5,0,0,0,0.5,9,0,0,47,0,0,0,0.5,0,0,0,0.6,0,0,0,0,,50
127,El-929,,No,6640,,No,4,0.02,0.1,14,10,0,0,0,,0,0,4,0,0,60.38,0,,,0,0,2,0.5,5,0,0,0,0,259,
128,MAR-M246+Hf,,No,42150,,No,5.5,0.015,0.14,10,9,0,0,0,,0,0,2.5,0,0,63,1.8,,,0,1.5,1.5,0,10,0,0,0,0.05,1070,
129,Inconel713C,,No,0,,No,6.18,0.01,0.16,0.22,12.43,0,1.66,,,0,0.02,4.48,0,2.13,71.7,0,,,0.21,0,0.7,0,0,0,0,0,0.1,,
130,Udimet500,,No,36708,,No,2.9,0.006,0.08,18.5,18,0,0,0,,0,0,4,0,0,54,0,,,0,0,2.9,0,0,0,0,0,0.05,1310,
131,Udimet720,1107,No,23882,GammaPrime,No,2.5,0.033,0.035,14.7,18,0,0,0,0,0,0,3,0,0,55.15,0,0,0,0,0,5,0,1.25,0,0,0,0.03,,19.7
132,Nimonic75,,No,1,,No,0,0,0.1,0,19.5,0,3,,,0,0.3,0,0,0,76,0,,,0.3,0,0.4,0,0,0,0,0,0,,
133,Inconel625,,No,3523,,No,0.25,0,0.021,0,21.43,0,1.28,0,,0,0.03,8.88,0.006,3.77,64.02,0,,,0.05,0,0.26,0,0,0,0,0,0,1027,
134,Waspaloy,,No,19640,,No,1.44,0,0.018,13.8,19.6,0,0.4,0,,0,0,4.25,0,0,57.53,0,,,0.04,0,2.92,0,0,0,0,0,0,1461,
135,Rene80,,No,47980,,No,3,0.015,0.17,9.5,14,0,0,0,,0,0,4,0,0,60,0,,,0,0,5,0,4,0,0,0,0.03,1030,
136,Inconel625,665,No,3611,DoublePrime,Yes,0.25,0,0.021,0,21.43,0,1.28,0,0,0,0.03,8.88,0.006,3.77,64.02,0,0,0,0.05,0,0.26,0,0,0,0,0,0,,38
137,J16,,No,7150,,No,0.1,0,0.008,0,12.2,0,0,,,0,0,15.5,0,0,64.52,0,,,0,1,0,0,6.6,0,0,0,0,,
138,Inconel718,,No,23655,,No,0.53,0,0.05,0,17.9,0,18.92,0,,0,0.06,3,0,5,53.5,0,,,0.05,0,0.99,0,0,0,0,0,0,817,
139,AlloyT+,824,No,7960,GammaPrime,Yes,3.1,0.02,0.045,17,15,0,0,0,0,0,0,4,0,0,53.88,0,0,0,0,2.5,4.4,0,0,0,0,0,0.06,,23.79
140,Inconel718_Ta,752,No,11876,DoublePrime,No,0.47,0.0043,0.044,0,19.2,0,18,0,0,0,0,3,0,0.02,49.1,0,0,0,0.02,9.1,1.04,0,0,0,0,0,0,,8
141,Rene95,,No,46848,,No,3.5,0.01,0.15,8,14,0,0,0,,0,0,3.5,0,3.5,61,0,,,0,0,2.5,0,3.5,0,0,0,0.05,1620,
142,Waspaloy1727,,No,44108,,No,1.34,0.003,0.033,5.8,18.9,0,0,0,,0,0,3.92,0,0,67,0,,,0,0,2.94,0,0,0,0,0,0.06,1173,
143,Inconel738LC,,No,22520,,No,3.44,0.01,0.09,8.61,15.95,0,0.04,0,,0,0,1.77,0,0.92,61.18,0,,,0,1.76,3.55,0,2.64,0,0,0,0.038,947,
144,Inconel100,850,No,0,GammaPrime,No,5.5,0.014,0.18,15,10,0,0,0,0,0,0,3,0,0,60,0,0,0,0,0,4.7,1,0,0,0,0,0.06,,9
145,Inconel718_Ta,,No,9141,,No,0.47,0.0043,0.044,0,19.2,0,18,,,0,0,3,0,0.02,49.1,0,,,0.02,9.1,1.04,0,0,0,0,0,0,,
146,Inconel939,682,No,13840,GammaPrime,No,2,0.004,0.15,19,22.4,0,0,0,0,0,0,0.01,0,1.02,48.23,0.005,0,0,0.001,1.45,3.71,0,2.02,0,0,0,0.003,,
147,HaynesR-41,408,No,16476,GammaPrime,No,1.5,0.006,0.09,11,19,0,5,0,0,0,0.1,10,0,0,49.7,0,0,0,0.5,0,3.1,0,0,0,0,0,0,,24.9
148,InconelMA0754,,No,1316,,No,0.3,0,0.05,0,20,0,0,0,,0,0,0,0,0,78,0,,,0,0,0.5,0,0,0,0,0,0,350,
149,MAR-M247:WLK,783,Yes,24530,GammaPrime,No,5.5,0.013,0.17,10.15,8.63,0,0.04,1.4,0,0,0,0.73,0,0,59.66,0,0,0,0,3,1,0,9.67,0,0,0,0.04,,6.9
