,names,Yield Strength,Pressure treated,Area under heat treatment curve,Strengthening Precipitate Phase,Powder processed,Al,B,C,Co,Cr,Cu,Fe,Hf,La,Mg,Mn,Mo,N,Nb,Ni,P,Re,Ru,Si,Ta,Ti,V,W,Y,Th,O,Zr,Ultimate Tensile Strength,Elongation
744,Thermo-Span,987,No,11805,GammaPrime,No,0.45,0.004,0,29,5.5,0,34.8,0,0,0,0,0,0,4.8,24.25,0,0,0,0.35,0,0.85,0,0,0,0,0,0,,17.2
745,Ticolloy4,,No,0,,No,0.63,0.004,0.028,0,17.8,0,18.3,0,,0.001,0,3.05,0,5.28,53.57,0,,,0,0,1.34,0,0,0,0,0,0,1359,
746,Alloy901,,No,20994,,No,0.2,0.015,0.05,0,12.5,0,36,,,0,0.1,5.7,0,0,42.5,0,,,0.1,0,2.8,0,0,0,0,0,0,,
747,M22,,No,0,,No,6.3,0,0.13,0,5.7,0,0,,,0,0,2,0,0,71,0,,,0,3,0,0,11,0,0,0,0.6,,
748,Cabot214,560,No,0,GammaPrime,No,4.5,0,0,0,16,0,2.5,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0.01,0,0,0,,38
749,MAR-M247:WLK,808,Yes,24530,GammaPrime,No,5.5,0.013,0.17,10.15,8.63,0,0.04,1.4,0,0,0,0.73,0,0,59.66,0,0,0,0,3,1,0,9.67,0,0,0,0.04,,4.3
750,Udimet720P/M,,No,24006,,No,2.5,0.04,0.025,14.75,16,0,0,0,,0,0,3,0,0,57.41,0,,,0,0,5,0,1.25,0,0,0,0.035,1500,
751,TRW-NASAVIA,,No,0,,No,5.4,0.02,0.13,7.5,6.1,0,0,0,,0,0,2,0,0.5,61,0,,,0,9,1,0,5.8,0,0,0,0.13,595,
752,Inconel738LC,,No,22520,,No,3.44,0.01,0.09,8.61,15.95,0,0.04,,,0,0,1.77,0,0.92,61.18,0,,,0,1.76,3.55,0,2.64,0,0,0,0.038,,
753,RR1000,,No,17320,,No,3,0.015,0.027,18.5,15,0,0,0,,0,0,5,0,0,52.05,0.75,,,0,2,3.6,0,0,0,0,0,0.06,1239,
754,Inconel718,,No,23655,,No,0.53,0,0.05,0,17.9,0,18.92,0,,0,0.06,3,0,5,53.5,0,,,0.05,0,0.99,0,0,0,0,0,0,974,
755,AlloyT+B,,No,7800,,No,3.1,0.035,0.045,17,15,0,0,,,0,0,4,0,0,53.86,0,,,0,2.5,4.4,0,0,0,0,0,0.06,,
756,Udimet710,619.1,No,41416,GammaPrime,No,2.5,0.02,0.07,15,18,0,0,0,0,0,0,3,0,0,55,0,0,0,0,0,5,0,1.5,0,0,0,0,,8
757,InconelX750,825,No,36610,GammaPrime,No,0.7,0,0.04,0,15.5,0,7,0,0,0,0.5,0,0,1,73,0,0,0,0.2,0,2.5,0,0,0,0,0,0,,5
