,Name,"Tensile Strength, Yield",Heat treatment 1 Temperature,Heat treatment 1 Time,Heat treatment 2 Temperature,Heat treatment 2 Time,Heat treatment 3 Temperature,Heat treatment 3 Time,Heat treatment 4 Temperature,Heat treatment 4 Time,Heat treatment 5 Temperature,Heat treatment 5 Time,Al,B,C,Co,Cr,Cu,Fe,Hf,La,Mg,Mn,Mo,N,Nb,Ni,P,Re,Ru,Si,Ta,Ti,V,W,Y,Th,O,Zr,"Tensile Strength, Ultimate",Elongation at Break
2433,Alloy101,,704,50,0,0,0,0,0,0,0,0,3.4,0.015,0.16,9,12.2,0,0,0,,0,0,1.95,0,0,60.17,1,,,0,3.95,4.1,0,3.95,0,0,0,0.11,1857,
2434,Rene41,,1066,4,760,16,0,0,0,0,0,0,1.5,0.005,0.09,11,19,0,0,0,,0,0,10,0,0,55,0,,,0,0,3.1,0,0,0,0,0,0,620,
2435,Inconel625,,927,1,663,4,0,0,0,0,0,0,0.28,0,0.02,0,21.56,0,1.41,0,,0,0.05,8.92,0.007,3.77,63.67,0,,,0.05,0,0.26,0,0,0,0,0,0,1020,
2436,Inconel713C,,1205,4,925,16,925,16,0,0,0,0,6.2,0.011,0.1,0,13.1,0,0,,,0,0,4.5,0,1.6,71.87,0,,,0,1.75,0.8,0,0,0,0,0,0.07,,
2437,AF115,922,1210,8,1160,0,871,32,0,0,0,0,3.8,0.02,0.05,15,10.7,0,0,0.75,0,0,0,3.9,0,1.7,56.33,0,0,0,0,0,3.9,0,3.8,0,0,0,0.05,,
2438,Inconel718P/M,,1038,2,718,8,621,8,0,0,0,0,5.45,0,0.04,0,18.61,0,18.61,0,,0,0,3.02,0,0,53.35,0,,,0,0,0.92,0,0,0,0,0,0,1120,
2439,Inconel706,876,982,1,843,3,718,8,621,8,0,0,0.24,0.0043,0.042,0,15.78,0,38.2,0,0,0,0.07,0,0,2.99,40.93,0.003,0,0,0.09,0,1.65,0,0,0,0,0,0,,23
2440,Haynes556,,1121,0,0,0,0,0,0,0,0,0,0.3,0,0.1,20,22,0,29,0,,0,1.5,3,0.2,0.1,20,0,,,0.4,0.9,0,0,2.5,0,0,0,0,470,
2441,Unnamedalloy9,,0,0,0,0,0,0,0,0,0,0,5.75,0,0,15,10,0,0,,,0,0,3.5,0,0,61.15,0,,,0,0,4.6,0,0,0,0,0,0,,
2442,EP741NP,,1210,8,1160,32,871,32,0,0,0,0,5.02,0.015,0.04,15.8,8.2,0,0,0,,0,0,3.9,0,2.56,57.47,0.24,,,0,0,1.45,0,5.3,0,0,0,0.01,1313,
2443,J5,464,1200,0.5,750,6,0,0,0,0,0,0,0.1,0,0.01,0,12.3,0,0,0,0,0,0,22,0,0,64.51,0,0,0,0,1,0,0,0,0.08,0,0,0,,
2444,PM3030,905,1230,1,955,2,0,24,0,0,0,0,6.6,0,0,0,17,0,0,0,0,0,0,2,0,0,67.8,0,0,0,0,2,0,0,3.5,0.866164748,0,0.233835252,0,,8
2445,Inconel713C,,1205,4,925,16,925,16,0,0,0,0,6.3,0.011,0.09,0,12.7,0,0,,,0,0,4.5,0,1,70.93,0,,,0,3.6,0.8,0,0,0,0,0,0.07,,
2446,Inconel718,657,1135,10,955,1,720,8,620,8,0,0,0.53,0,0.05,0,17.9,0,18.92,0,0,0,0.06,3,0,5,53.5,0,0,0,0.05,0,0.99,0,0,0,0,0,0,,15.4
2447,Inconel718P/M,,871,2,718,8,621,8,0,0,0,0,5.45,0,0.04,0,18.61,0,18.61,0,,0,0,3.02,0,0,53.35,0,,,0,0,0.92,0,0,0,0,0,0,1494,
2448,Inconel738LC,397,1121,2,843,24,0,0,0,0,0,0,3.4,0.01,0.11,8.5,16,0,0,0,0,0,0,1.7,0,0.9,61,0,0,0,0,1.7,3.4,0,2.6,0,0,0,0.05,,23.4
2449,Waspaloy,,1016,4,843,8,760,8,760,350,0,0,1.4,0.006,0.03,13.8,19.5,0.004,0.2,,,0,0,4.3,0,0,57.76,0,,,0,0,3,0,0,0,0,0,0,,
2450,Inconel718,,732,8,607,8,0,0,0,0,0,0,0.7,0.004,0.035,0,17.8,0,18.3,0,,0,0,2.9,0,5.4,53.86,0,,,0,0,1,0,0,0,0,0,0,1450,
2451,Inconel939,,1160,4,1000,6,0,0,0,0,0,0,1.9,0.01,0.15,19,22.5,0,0,,,0,0,0,0,1,48.24,0,,,0,1.4,3.7,0,2,0,0,0,0.1,,
2452,Inconel713+Hf,,0,0,0,0,0,0,0,0,0,0,5.9,0.015,0.05,0,12,0,0,0,,0,0,4.5,0,2,74,1.3,,,0,0,0.6,0,0,0,0,0,0.05,1000,
2453,Haynes230,385,1232,0,0,0,0,0,0,0,0,0,0.3,0,0.1,0,22,0,0,0,0.02,0,0.5,2,0,0,57,0,0,0,0.4,0,0,0,14,0,0,0,0,,48
2454,Inconel718,,980,1,850,1,650,16,0,0,0,0,1.85,0.0033,0.056,0,17.58,0,17,0,,0,0,2.85,0,3.44,56.04,0,,,0,0,1.18,0,0,0,0,0,0,1405,
2455,Inconel625,352,1038,1,0,0,0,0,0,0,0,0,0.2,0,0.05,0,21.5,0,2,0,0,0,0.2,9,0,2,64.65,0,0,0,0.2,0,0.2,0,0,0,0,0,0,,
2456,RR7080,250,871,20,0,0,0,0,0,0,0,0,5.5,0.015,0.14,10,9,0,0,1.5,0,0,0,0,0,0,61,0,0,0,0,2.5,1.5,0,10,0,0,0,0.05,,12
2457,Udimet720P/M,,1175,2,760,8,649,24,0,0,0,0,2.5,0.02,0.025,14.75,16,0,0,0,,0,0,3,0,0,57.41,0,,,0,0,5,0,1.25,0,0,0,0.07,1584,
2458,AlloyT+B,,1150,4,800,4,0,0,0,0,0,0,3.1,0.035,0.045,17,15,0,0,,,0,0,4,0,0,53.86,0,,,0,2.5,4.4,0,0,0,0,0,0.06,,
2459,Inconel706,1041,982,1,843,3,718,8,621,8,0,0,0.23,0.0045,0.041,0,15.79,0,37.88,0,0,0,0.07,0,0,3.05,41.16,0.001,0,0,0.09,0,1.68,0,0,0,0,0,0,,24
2460,MAR-M252,883,1038,4,760,16,0,0,0,0,0,0,1,0.005,0.15,10,20,0,0,0,0,0,0.5,10,0,0,55,0,0,0,0.5,0,2.6,0,0,0,0,0,0,,15
2461,Rene220,,843,1,760,5,649,3,704,0,0,0,0.5,0.01,0.015,12,18,0,0,,,0,0,3,0,5,57.48,0,,,0,3,1,0,0,0,0,0,0,,
2462,Inconel718,1054,1040,1,955,1,720,8,620,8,0,0,0.63,0,0.05,0,17.9,0,18.84,0,0,0,0.18,3,0,5.1,52.96,0,0,0,0.22,0,1.12,0,0,0,0,0,0,,31.5
2463,RR1000,958,1130,4,800,16,750,1000,0,0,0,0,3,0.015,0.027,18.5,15,0,0,0.75,0,0,0,5,0,0,52.05,0,0,0,0,2,3.6,0,0,0,0,0,0.06,,28.9
2464,AlloyT+B,,1150,4,800,4,0,0,0,0,0,0,3.1,0.035,0.045,17,15,0,0,0,,0,0,4,0,0,53.86,0,,,0,2.5,4.4,0,0,0,0,0,0.06,1532,
2465,GH200,,0,0,0,0,0,0,0,0,0,0,4.3,0.008,0.06,15,10,0,0,,,0.0003,0,5.5,0,0,56.83,0,,,0,0,2.5,0.3,5.5,0,0,0,0,,
2466,Nimonic263,505,1149,2,799,8,0,0,0,0,0,0,0.45,0,0.06,20,20,0,0,0,0,0,0,5.85,0,0,51.49,0,0,0,0,0,2.15,0,0,0,0,0,0,,50
2467,MAR-M421,,1149,0,1065,0,4,16,0,0,0,0,4.3,0.015,0.14,9.5,15.8,0,0,0,,0,0,2,0,2,61,0,,,0,0,1.8,0,3.8,0,0,0,0.05,1080,
2468,AF115,,1210,8,1160,32,871,32,0,0,0,0,3.8,0.02,0.05,15,10.7,0,0,0,,0,0,3.9,0,1.7,56.33,0.75,,,0,0,3.9,0,3.8,0,0,0,0.05,1424,
2469,Inconel617,,1177,4,0,0,0,0,0,0,0,0,1,0,0.07,12.5,22,0,0,,,0,0,9,0,0,54,0,,,0,0,0.3,0,0,0,0,0,0,,
2470,J5,625,1200,0.5,750,6,0,0,0,0,0,0,0.1,0,0.01,0,12.3,0,0,0,0,0,0,22,0,0,64.51,0,0,0,0,1,0,0,0,0.08,0,0,0,,
2471,MERL76,285,1176,2,1121,0,0,0,0,0,0,0,5,0.02,0.02,18.5,12.5,0,0,0.4,0,0,0,3.2,0,1.4,54.5,0,0,0,0,0,4.4,0,0,0,0,0,0.06,,40
2472,MAR-M421,,1149,0,1065,0,4,0,0,0,0,0,4.3,0.015,0.14,9.5,15.8,0,0,,,0,0,2,0,2,61,0,,,0,0,1.8,0,3.8,0,0,0,0.05,,
2473,AlloyT+B,818,1190,4,800,4,0,0,0,0,0,0,3.1,0.035,0.045,17,15,0,0,0,0,0,0,4,0,0,53.86,0,0,0,0,2.5,4.4,0,0,0,0,0,0.06,,25.28
